product_id,product_name,category,subcategory,cost_price
84,chair model 19,Home,Home - Chair,180.97
85,Vacuum Cleaner Model 7,Home,Home - Vacuum Cleaner,20.94
86,chair model 1,Home,Home - Chair,142.69
87,  CHAIR MODEL 1  ,Home,Home - Chair,488.63
88,Lamp Model 9,Home,Home - Lamp,282.22
89,Lamp Model 7,Home,Home - Lamp,660.33
90,  COOKWARE SET MODEL 19  ,Home,Home - Cookware Set,411.65
91,Textbook Model 12,Books,Books - Textbook,229.73
92,Textbook Model 4,Books,Books - Textbook,224.8
93,Biography Model 9,Books,Books - Biography,714.44
94,  BIOGRAPHY MODEL 7  ,Books,Books - Biography,613.55
95,Novel Model 20,Books,Books - Novel,116.24
96,Novel Model 16,Books,Books - Novel,337.76
97,Self-Help Book Model 2,Books,Books - Self-Help Book,653.73
98,Biography Model 8,Books,Books - Biography,383.21
99,Textbook Model 12,Books,Books - Textbook,673.31
100,Comic Model 6,Books,Books - Comic,594.03
101,textbook model 18,Books,Books - Textbook,545.37
102,  BIOGRAPHY MODEL 3  ,Books,Books - Biography,182.55
103,Journal Model 10,Books,Books - Journal,300.49
104,comic model 10,Books,Books - Comic,47.67
105,Textbook Model 19,Books,Books - Textbook,380.41
106,  COOKBOOK MODEL 17  ,Books,Books - Cookbook,546.15
107,Comic Model 10,Books,Books - Comic,124.87
108,Cookbook Model 11,Books,Books - Cookbook,725.76
109,Self-Help Book Model 5,Books,Books - Self-Help Book,624.26
110,self-help book model 11,Books,Books - Self-Help Book,509.43
111,Novel Model 15,Books,Books - Novel,139.04
112,Journal Model 6,Books,Books - Journal,74.99
113,Comic Model 14,Books,Books - Comic,772.44
114,  SELF-HELP BOOK MODEL 1  ,Books,Books - Self-Help Book,163.53
115,Biography Model 1,Books,Books - Biography,427.17
116,novel model 1,Books,Books - Novel,556.35
117,  BIOGRAPHY MODEL 10  ,Books,Books - Biography,309.92
118,  COMIC MODEL 10  ,Books,Books - Comic,659.96
119,Biography Model 10,Books,Books - Biography,421.67
120,Self-Help Book Model 5,Books,Books - Self-Help Book,290.6
